"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part","LCSC Part_1","LCSC"
"AE1","1","2450AT18A100E","","","","OpenRX-Shared:ANT-SMD_L3.2-W1.6","https://lcsc.com/product-detail/RF-Antenna_JOHANSON_2450AT18A100E_2450AT18A100E_C89334.html","C89334","","C89334"
"C1,C3","2","15pF","","","","Capacitor_SMD:C_0201_0603Metric","","C85891","","C85891"
"C2,C23,C24,C39,C42,C44","6","47p","","","","Capacitor_SMD:C_0201_0603Metric","","","","C85908"
"C4,C10,C17,C25,C27,C28,C31,C41","8","1uF","","","","Capacitor_SMD:C_0201_0603Metric","","C76935","","C76935"
"C5,C6,C9,C12,C13,C14,C16,C35,C37","9","100nF","","","","Capacitor_SMD:C_0201_0603Metric","","C76939","","C76939"
"C7,C34","2","10pF","","","","Capacitor_SMD:C_0201_0603Metric","","C384956","","C384956"
"C8,C11,C18","3","10uF","","","","Capacitor_SMD:C_0402_1005Metric","","C15525","","C15525,C76991"
"C15,C36","2","47pF","","","","Capacitor_SMD:C_0201_0603Metric","","C85908","","C85908"
"C19,C33","2","2.2nF","","","","Capacitor_SMD:C_0201_0603Metric","","","","C161488"
"C20,C38","2","470nF","","","","Capacitor_SMD:C_0201_0603Metric","","C85926","","C85926"
"C21,C40","2","220pF","","","","Capacitor_SMD:C_0201_0603Metric","","","","C907939"
"C22,C43","2","1n","","","","Capacitor_SMD:C_0201_0603Metric","","","","C85934"
"C26","1","10nF","","","","Capacitor_SMD:C_0201_0603Metric","","C2168164","","C2168164"
"C29,C30","2","1.2pF","","","","Capacitor_SMD:C_0201_0603Metric","","","","C85895"
"D1","1","XL-1010RGBC-WS2812B","","","","OpenRX-Shared:LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B","","C5349953","",""
"FL1,FL2","2","2450FM07D0034T","","","","OpenRX-Shared:FILTER-SMD_4P-L1.0-W0.5-L","https://www.lcsc.com/datasheet/C2651081.pdf","C2651081","C2651081",""
"J1,J2","2","Conn_Coaxial_Small","","","","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","","","","C88374"
"L1,L6","2","10uH","","","","Inductor_SMD:L_0603_1608Metric","","","","C194437"
"L2","1","24nH","","","","Inductor_SMD:L_0201_0603Metric","","C206441","","C206441"
"L3","1","2.0nH","","","","Inductor_SMD:L_0201_0603Metric","","","","C86125"
"L4","1","2.5nH","","","","Inductor_SMD:L_0201_0603Metric","","","","C206435"
"L5,L7","2","47nH","","","","Inductor_SMD:L_0402_1005Metric","","","","C192855"
"OSC1","1","OW7EL89CENUYO3YLC-32M","","","","OpenRX-Shared:OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z","","C22381772","",""
"R1,R10","2","200","","","","Resistor_SMD:R_0201_0603Metric","","","","C274337"
"R2,R3,R4,R5","4","10k","","","","Resistor_SMD:R_0201_0603Metric","","C106225","","C106225"
"R6,R9","2","220","","","","Resistor_SMD:R_0201_0603Metric","","C2074788","","C2074788"
"R7,R8,R11,R12","4","100k","","","","Resistor_SMD:R_0201_0603Metric","","","","C106224"
"T1,T2","2","0900PC16J0042001E","","","","OpenRX-Shared:FILTER-SMD_10P-L2.0-W1.6-BL","","C19842466","",""
"TP1","1","RX","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"TP2","1","TX","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"TP3","1","5V","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"TP4","1","GND","","","","OpenRX-Shared:SolderPad_1.2x2.0mm","","","",""
"U1","1","ESP32-C3","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf","","",""
"U2","1","TLV75533PDQNR","","","","OpenRX-Shared:X2SON-4_L1.0-W1.0-P0.65-TL-EP","","C2861882","","C2861882"
"U3,U6","2","LR1121IMLTRT","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","","C7498014","",""
"U4,U7","2","RFX2401C","","","","OpenRX-Shared:QFN-16_L3.0-W3.0-P0.50-BL-EP1.7","https://lcsc.com/product-detail/RF-Transceiver-ICs_SKYWORKS_RFX2401C_RFX2401C_C19213.html","C19213","",""
"U5,U8","2","SKY13373-460LF","","","","OpenRX-Shared:QFN-12_EP_2x2_Pitch0.5mm","","","",""
"U9","1","TS2306A 240GF MSM 9_C2976675","","","","OpenRX-Shared:SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5","","C2976675","",""
"X1","1","CJ17-400001010B20","","","","OpenRX-Shared:CRYSTAL-SMD_4P-L1.6-W1.2-BL","","C2875272","","C2875272"
