Id,Designator,Footprint,Quantity,Designation,JLCPCB Part #
1,"AE1, AE2, AE3, AE4, AE6",ANT-SMD_L3.2-W1.6,5,2450AT18A100E,C89334
2,AE5,ANT-SMD_47948-0001,1,47948-0001,C152351
3,"C1, C3, C32, C46, C87, C88, C112, C113, C137, C139",C_0201_0603Metric,10,15pF,C85891
4,"C2, C23, C24, C39, C42, C44, C45, C66, C67, C81, C84, C86, C138, C159, C160",C_0201_0603Metric,15,47p,C85908
5,"C4, C10, C17, C25, C27, C28, C31, C41, C47, C53, C60, C68, C70, C71, C74, C83, C89, C94, C99, C106, C108, C111, C114, C119, C124, C131, C133, C136, C140, C146, C153, C161, C163, C164, C167",C_0201_0603Metric,35,1uF,C76935
6,"C5, C6, C9, C12, C13, C14, C16, C35, C37, C48, C49, C52, C55, C56, C57, C59, C77, C79, C90, C91, C93, C96, C97, C98, C101, C115, C116, C118, C121, C122, C123, C126, C141, C142, C145, C148, C149, C150, C152",C_0201_0603Metric,39,100nF,C76939
7,"C7, C34, C50, C76, C143",C_0201_0603Metric,5,10pF,C384956
8,"C8, C11, C18, C51, C54, C61, C92, C95, C100, C117, C120, C125, C144, C147, C154",C_0402_1005Metric,15,10uF,C15525
9,"C15, C36, C58, C78, C151",C_0201_0603Metric,5,47pF,C85908
10,"C19, C33, C62, C75, C155",C_0201_0603Metric,5,2.2nF,C161488
11,"C20, C38, C63, C80, C103, C128, C156",C_0201_0603Metric,7,470nF,C85926
12,"C21, C40, C64, C82, C157",C_0201_0603Metric,5,220pF,C907939
13,"C22, C43, C65, C85, C158",C_0201_0603Metric,5,1n,C85934
14,"C26, C69, C107, C109, C110, C132, C134, C135, C162",C_0201_0603Metric,9,10nF,C2168164
15,"C29, C30, C72, C73, C104, C105, C129, C130, C165, C166",C_0201_0603Metric,10,1.2pF,C85895
16,"C102, C127",C_0201_0603Metric,2,1nF,C85934
17,"D1, D2, D3, D4, D5",LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,5,XL-1010RGBC-WS2812B,C5349953
18,"FL1, FL2, FL3, FL4, FL5, FL6, FL7",FILTER-SMD_4P-L1.0-W0.5-L,7,2450FM07D0034T,C2651081
19,"J1, J2, J3, J4, J6",U.FL_Hirose_U.FL-R-SMT-1_Vertical,5,Conn_Coaxial_Small,C88374
20,J5,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,C88374
21,"L1, L6, L8, L13, L23",L_0603_1608Metric,5,10uH,C194437
22,"L2, L9, L15, L19, L24",L_0201_0603Metric,5,24nH,C206441
23,"L3, L10, L17, L21, L25",L_0201_0603Metric,5,2.0nH,C86125
24,"L4, L11, L16, L20, L26",L_0201_0603Metric,5,2.5nH,C206435
25,"L5, L7, L12, L14, L27",L_0402_1005Metric,5,47nH,C192855
26,"L18, L22",L_0805_2012Metric,2,15uH,C383402
27,"OSC1, OSC2, OSC5",OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z,3,OW7EL89CENUYO3YLC-32M,C22381772
28,"OSC3, OSC4",OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z,2,OW7EL89CENUNFAYLC-52M,C22434896
29,"R1, R10, R13, R22, R33",R_0201_0603Metric,5,200,C274337
30,"R2, R3, R4, R5, R14, R15, R16, R17, R25, R26, R27, R28, R29, R30, R31, R32, R34, R35, R36, R37",R_0201_0603Metric,20,10k,C106225
31,"R6, R9, R18, R21, R38",R_0201_0603Metric,5,220,C2074788
32,"R7, R8, R11, R12, R19, R20, R23, R24, R39, R40",R_0201_0603Metric,10,100k,C106224
33,"T1, T2, T3, T4, T5",FILTER-SMD_10P-L2.0-W1.6-BL,5,0900PC16J0042001E,C19842466
39,"U1, U10, U19, U22, U25",QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,5,ESP32-C3,C2858491
40,"U2, U11, U20, U23, U26",X2SON-4_L1.0-W1.0-P0.65-TL-EP,5,TLV75533PDQNR,C2861882
41,"U3, U6, U12, U15, U27",QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,5,LR1121IMLTRT,C7498014
42,"U4, U7, U13, U16, U28",QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,5,RFX2401C,C783588
43,"U5, U8, U14, U17, U29",QFN-12_EP_2x2_Pitch0.5mm,5,SKY13373-460LF,C150853
44,"U9, U18",SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,2,TS2306A 240GF MSM 9_C2976675,C2976675
45,"U21, U24",QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,2,SX1281IMLTRT,C2151551
46,"X1, X2, X3, X4, X5",CRYSTAL-SMD_4P-L1.6-W1.2-BL,5,CJ17-400001010B20,C2875272
